"PERIODO","MES","BARRIO","GRAVEDAD","CONTEO"
2014,1,"Santa Maria de los angeles","Solo danos",11
2014,1,"Santa Monica","Herido",3
2014,1,"Santa Monica","Solo danos",4
2014,1,"Santa Teresita","Herido",1
2014,1,"Santa Teresita","Solo danos",3
2014,1,"Santander","Herido",4
2014,1,"Santo Domingo Savio Nº 1","Herido",6
2014,1,"Santo Domingo Savio Nº 1","Solo danos",2
2014,1,"Santo Domingo Savio Nº 2","Herido",1
2014,1,"Sevilla","Herido",5
2014,1,"Sevilla","Solo danos",9
2014,1,"Simon Bolivar","Herido",3
2014,1,"Simon Bolivar","Solo danos",3
2014,1,"Suburbano El Plan","Herido",14
2014,1,"Suburbano el Tesoro","Solo danos",1
2014,1,"Suburbano Travesias","Herido",1
2014,1,"Sucre","Herido",4
2014,1,"Sucre","Solo danos",1
2014,1,"Suramericana","Herido",6
2014,1,"Suramericana","Solo danos",14
2014,1,"Tejelo","Herido",5
2014,1,"Tejelo","Muerto",1
2014,1,"Tenche","Herido",9
2014,1,"Tenche","Solo danos",7
2014,1,"Toscana","Herido",2
2014,1,"Toscana","Solo danos",6
2014,1,"Trece de Noviembre","Herido",1
2014,1,"Trece de Noviembre","Solo danos",1
2014,1,"Tricentenario","Herido",5
2014,1,"Tricentenario","Solo danos",6
2014,1,"Trinidad","Herido",11
2014,1,"Trinidad","Solo danos",6
2014,1,"Veinte de Julio","Herido",7
2014,1,"Versalles Nº 1","Herido",7
2014,1,"Versalles Nº 1","Solo danos",5
2014,1,"Villa Carlota","Herido",21
2014,1,"Villa Carlota","Muerto",1
2014,1,"Villa Carlota","Solo danos",13
2014,1,"Villa de La Iguana","Herido",6
2014,1,"Villa de La Iguana","Solo danos",4
2014,1,"Villa del Socorro","Herido",6
2014,1,"Villa del Socorro","Solo danos",1
2014,1,"Villa Flora","Herido",13
2014,1,"Villa Flora","Solo danos",11
2014,1,"Villa Guadalupe","Herido",2
2014,1,"Villa Guadalupe","Solo danos",1
2014,1,"Villa Hermosa","Herido",10
2014,1,"Villa Hermosa","Solo danos",3
2014,1,"Villa Lilliam","Herido",2
2014,1,"Villa Niza","Herido",1
2014,1,"Villa Niza","Solo danos",2
2014,1,"Villa Nueva","Herido",26
2014,1,"Villa Nueva","Muerto",1
2014,1,"Villa Nueva","Solo danos",21
2014,1,"Villa Turbay","Herido",1
2014,1,"Villatina","Herido",3
2014,1,"Villatina","Solo danos",1
2014,1,"Zona rural","Herido",8
2014,1,"Zona rural","Solo danos",7
