"BARRIO","GRAVEDAD","CONTEO"
"Veinte de Julio","Herido",287
"Veinte de Julio","Muerto",8
"Veinte de Julio","Solo danos",85
"Versalles Nº 1","Herido",378
"Versalles Nº 1","Muerto",3
"Versalles Nº 1","Solo danos",173
"Versalles Nº 2","Herido",39
"Versalles Nº 2","Solo danos",26
"Villa Carlota","Herido",966
"Villa Carlota","Muerto",12
"Villa Carlota","Solo danos",1465
"Villa de La Iguana","Herido",288
"Villa de La Iguana","Muerto",2
"Villa de La Iguana","Solo danos",173
"Villa del Socorro","Herido",307
"Villa del Socorro","Muerto",3
"Villa del Socorro","Solo danos",160
"Villa Flora","Herido",566
"Villa Flora","Solo danos",336
"Villa Guadalupe","Herido",305
"Villa Guadalupe","Muerto",4
"Villa Guadalupe","Solo danos",99
"Villa Hermosa","Herido",446
"Villa Hermosa","Muerto",3
"Villa Hermosa","Solo danos",158
"Villa Lilliam","Herido",105
"Villa Lilliam","Solo danos",26
"Villa Niza","Herido",120
"Villa Niza","Muerto",2
"Villa Niza","Solo danos",61
"Villa Nueva","Herido",1544
"Villa Nueva","Muerto",21
"Villa Nueva","Solo danos",1668
"Villa Turbay","Herido",36
"Villa Turbay","Solo danos",11
"Villatina","Herido",365
"Villatina","Muerto",2
"Villatina","Solo danos",142
"Volcana Guayabal","Herido",1
"Yolombo","Herido",14
"Yolombo","Solo danos",9
"Zona rural","Herido",189
"Zona rural","Muerto",14
"Zona rural","Solo danos",71
