"PERIODO","MES","BARRIO","TOTAL"
2014,4,"El Castillo",2
2014,4,"El Chagualo",29
2014,4,"El Compromiso",1
2014,4,"El Corazon",2
2014,4,"El Danubio",9
2014,4,"El Diamante",15
2014,4,"El Diamante Nº 2",4
2014,4,"El Nogal - Los Almendros",7
2014,4,"El Pesebre",2
2014,4,"El Pinal",10
2014,4,"El Playon de Los Comuneros",3
2014,4,"El Poblado",17
2014,4,"El Pomar",5
2014,4,"El Progreso",31
2014,4,"El Progreso Nº 2",2
2014,4,"El Raizal",14
2014,4,"El Rincon",20
2014,4,"El Rodeo",4
2014,4,"El Salado",2
2014,4,"El Salvador",2
2014,4,"El Socorro",2
2014,4,"El Tesoro",12
2014,4,"El Triunfo",1
2014,4,"El Velodromo",9
2014,4,"El Volador",2
2014,4,"Enciso",10
2014,4,"Estacion Villa",19
2014,4,"Estadio",41
2014,4,"Fatima",21
2014,4,"Ferrini",4
2014,4,"Florencia",5
2014,4,"Florida Nueva",12
2014,4,"Francisco Antonio Zea",7
2014,4,"Gerona",5
2014,4,"Girardot",14
2014,4,"Granada",3
2014,4,"Granizal",4
2014,4,"Guayabal",52
2014,4,"Guayaquil",46
2014,4,"Hector Abad Gomez",11
2014,4,"Inst",2
2014,4,"Jesus Nazareno",31
2014,4,"Juan XXIII",8
2014,4,"Kennedy",13
2014,4,"La Aguacatala",25
2014,4,"La America",17
2014,4,"La Candelaria",116
2014,4,"La Castellana",13
2014,4,"La Colina",10
2014,4,"La Cruz",4
2014,4,"La Esperanza",14
2014,4,"La Esperanza Nº 2",3
2014,4,"La Floresta",7
2014,4,"La Florida",21
2014,4,"La Francia",3
